iter	Passed	Remaining
0	1	1173
1	1	771
2	1	628
3	2	565
4	2	521
5	2	483
6	3	461
7	3	447
8	3	435
9	4	421
10	4	410
11	4	398
12	5	398
13	5	393
14	5	390
15	6	390
16	6	389
17	7	384
18	7	380
19	7	374
20	7	369
21	8	366
22	8	364
23	8	363
24	9	361
25	9	361
26	9	359
27	10	359
28	10	357
29	10	354
30	11	351
31	11	350
32	11	347
33	12	345
34	12	343
35	12	341
36	13	339
37	13	337
38	13	335
39	13	334
40	14	334
41	14	333
42	15	334
43	15	332
44	15	332
45	15	330
46	16	330
47	16	328
48	16	326
49	17	326
50	17	325
51	17	324
52	18	323
53	18	321
54	18	320
55	19	321
56	19	320
57	19	319
58	19	317
59	20	317
60	20	315
61	20	315
62	21	316
63	21	314
64	21	314
65	22	312
66	22	312
67	22	312
68	23	311
69	23	310
70	23	311
71	24	310
72	24	310
73	24	309
74	25	309
75	25	310
76	25	308
77	26	308
78	26	307
79	26	306
80	26	305
81	27	305
82	27	304
83	27	304
84	28	303
85	28	302
86	28	301
87	29	301
88	29	300
89	29	299
90	29	299
91	30	299
92	30	298
93	30	297
94	31	297
95	31	296
96	31	296
97	32	295
98	32	294
99	32	293
100	32	293
101	33	293
102	33	293
103	34	293
104	34	292
105	34	292
106	34	291
107	35	291
108	35	290
109	35	290
110	36	289
111	36	289
112	36	288
113	37	288
114	37	287
115	37	287
116	37	286
117	38	286
118	38	286
119	38	285
120	39	285
121	39	285
122	39	284
123	40	284
124	40	283
125	40	283
126	41	283
127	41	282
128	41	282
129	42	282
130	42	282
131	42	281
132	43	281
133	43	280
134	43	279
135	43	278
136	44	279
137	44	278
138	44	277
139	45	277
140	45	276
141	45	276
142	46	275
143	46	275
144	46	274
145	46	274
146	47	274
147	47	273
148	47	273
149	48	272
150	48	272
151	48	272
152	49	271
153	49	271
154	49	270
155	49	270
156	50	269
157	50	269
158	50	269
159	51	268
160	51	268
161	51	267
162	52	267
163	52	267
164	52	267
165	53	266
166	53	266
167	53	265
168	53	265
169	54	265
170	54	265
171	54	264
172	55	263
173	55	263
174	55	263
175	56	262
176	56	262
177	56	262
178	57	261
179	57	261
180	57	260
181	57	260
182	58	260
183	58	259
184	58	259
185	59	259
186	59	258
187	59	258
188	60	258
189	60	257
190	60	257
191	61	257
192	61	256
193	61	257
194	62	257
195	62	256
196	62	256
